,andicam,ccd_imager,cosmos,decam,echelle,goodman,hdi,kosmos,mosaic3,sami,soi,whirc
local_file,13422,2052,1341,4436,5223,6336,986,1515,89,552,765,488
DTACQNAM,13386,1894,1341,4436,5223,6336,986,1515,89,550,765,488
DATE-OBS,13448,2151,1341,4436,9888,10089,986,1515,89,556,769,488
DTCALDAT,25,12,7,14,16,18,12,22,4,6,3,4
DTTELESC,1,1,1,1,1,1,1,1,1,1,1,1
DTINSTRU,1,1,1,1,1,1,1,1,1,1,1,1
OBSTYPE,3,4,5,5,5,5,4,5,4,3,4,4
PROCTYPE,1,1,1,1,1,1,1,1,1,1,1,1
PRODTYPE,1,1,1,1,1,1,1,1,1,1,1,1
DTSITE,1,1,1,1,1,1,1,1,1,1,1,1
OBSERVAT,1,1,1,1,1,1,1,1,1,1,2,1
REFERENCE,0,0,0,0,0,0,0,0,0,0,0,0
FILESIZE,0,0,0,0,0,0,0,0,0,0,0,0
MD5SUM,0,0,0,0,0,0,0,0,0,0,0,0
DTPROPID,1,1,3,6,1,5,1,9,3,1,3,2
PI,0,0,0,0,0,0,0,0,0,0,0,0
RELEASE_DATE,0,0,0,0,0,0,0,0,0,0,0,0
RA,4499,1643,1035,2437,5118,3754,0,186,9,4,124,444
DEC,5324,1867,938,2136,2980,5705,0,152,3,4,192,469
FOOTPRINT,0,0,0,0,0,0,0,0,0,0,0,0
FILTER,0,0,2,8,0,11,0,12,2,0,0,0
EXPOSURE,0,0,0,0,0,0,0,0,0,0,0,0
OBSMODE,0,0,3,0,0,0,0,3,0,0,0,0
SEEING,0,624,0,0,1,118,0,0,0,0,0,0
DEPTH,0,0,0,0,0,0,0,0,0,0,0,0
SURVEYID,0,0,0,0,0,0,0,0,0,0,0,0
COLLECTIONID,0,0,0,0,0,0,0,0,0,0,0,0
OBJECT,258,409,18,2593,220,228,37,175,4,7,30,7
RADIUS / BOX,0,0,0,0,0,0,0,0,0,0,0,0
RADIUS/BOX,0,0,0,0,0,0,0,0,0,0,0,0
