DTINSTRU,OBSTYPE,TOTAL OCCURRENCES
andicam,BIAS,233
andicam,FLAT,329
andicam,OBJECT,12860
ccd_imager,Focus,4
ccd_imager,dflat,444
ccd_imager,object,1468
ccd_imager,zero,136
cosmos,comp,16
cosmos,flat,563
cosmos,focus,57
cosmos,object,683
cosmos,zero,22
decam,dark,26
decam,dome flat,1128
decam,object,2892
decam,standard,58
decam,zero,332
echelle,Calibration,2963
echelle,Object,1
echelle,bias,822
echelle,dark,983
echelle,object,454
goodman,BIAS,599
goodman,COMP,422
goodman,DARK,11
goodman,FLAT,834
goodman,OBJECT,4470
hdi,BIAS,125
hdi,DARK,3
hdi,FLAT,493
hdi,OBJECT,365
kosmos,comp,208
kosmos,flat,435
kosmos,focus,14
kosmos,object,559
kosmos,zero,299
mosaic3,dome flat,29
mosaic3,focus,1
mosaic3,object,3
mosaic3,zero,56
sami,DFLAT,115
sami,OBJECT,387
sami,ZERO,50
soi,DFLAT,80
soi,OBJECT,352
soi,SFLAT,242
soi,ZERO,91
whirc,dark,91
whirc,flat,146
whirc,junk,1
whirc,object,250
